,Name,"1","2","3","4","5","6","7","8","9","10","11","12",lat,long
34,Peru,90034877.0,76870247.0,83678688.0,82911691.0,85569604.0,82617528.0,93470495.0,98675617.0,91853247.0,91812148.0,95161287.0,106413424.0,-10.13913535,-76.27225297715269
35,Philippines,345482508.0,257152832.0,308660052.0,258623055.0,247044780.0,246358983.0,270501325.0,266984844.0,281515635.0,282431008.0,269195623.0,286882963.0,12.750348599999999,122.7312101
36,Poland,77709059.0,53251168.0,63271631.0,55504867.0,56615046.0,61992868.0,66808728.0,67872116.0,62326318.0,64406609.0,67714221.0,87877548.0,52.215933,19.134422
37,Portugal,44804475.0,33792755.0,42058724.0,37436929.0,35398580.0,34168638.0,34912275.0,33659287.0,34376442.0,37571579.0,36693581.0,36364787.0,40.0332629,-7.889626299999999
38,Singapore,75122713.0,56242006.0,66306908.0,59841319.0,58897378.0,58297971.0,63615290.0,62941951.0,65719426.0,66567727.0,66506514.0,63747969.0,1.357107,103.81949920000001
39,Slovakia,3594340.0,2588936.0,3641968.0,2935605.0,3071698.0,3498089.0,3991127.0,3505557.0,3201223.0,3591211.0,3700767.0,5411088.0,48.74115220000001,19.4528646
40,Spain,355094092.0,276632776.0,315792100.0,289228617.0,298196596.0,310803249.0,334559688.0,310725509.0,311367262.0,316790029.0,311822358.0,323234736.0,39.3262345,-4.838064900000001
41,Sweden,312446239.0,259692004.0,334419914.0,270918360.0,288426096.0,285630949.0,280698536.0,261423864.0,261201576.0,255680521.0,246882985.0,310417754.0,59.67497120000001,14.5208584
42,Switzerland,44662426.0,33019453.0,43011122.0,38136623.0,38382930.0,39353705.0,40890316.0,38942241.0,39281605.0,41177654.0,40747764.0,49509570.0,46.7985624,8.231973599999998
43,Turkey,86503209.0,56699603.0,62320328.0,61487421.0,61810305.0,66045991.0,84228205.0,90909944.0,84224753.0,85942210.0,86253888.0,100675471.0,38.959759399999996,34.9249653
44,United Kingdom,695776384.0,512546578.0,747747228.0,610074546.0,599980420.0,580507997.0,587169691.0,542997138.0,533300854.0,554837902.0,536766067.0,684155491.0,55.367,-3.9614184445423697
45,United States,2432968557.0,1835993381.0,2381851473.0,2359877025.0,2262365518.0,2060321686.0,2089619474.0,2104495962.0,2200906126.0,2220831968.0,2128949304.0,2306499677.0,39.7837304,-100.4458825
46,Uruguay,21864073.0,14450245.0,15113225.0,13305645.0,13584842.0,13619082.0,14850824.0,15850418.0,17251510.0,17930206.0,17436839.0,19693051.0,-32.8755548,-56.0201525
